name;unit;n;p;k;ca;mg;s;b;cu;fe;mn;mo;zn;si
Athena Pro Grow;g;20;34,9;166;0;30;80;0;0;1;0;0;0;0
Athena Pro Bloom;g;0;52,4;199,2;0;30;90;0;0;1;0;0;0;0
Athena Pro Core;g;140;0;0;170,2;0;0;0,15;0,1;0,7;0,25;0,02;0,1;0
Athena Pro Fade;g;0;0;0;44,5;0;0;0,11;0,06;0,67;0,15;0,01;0,05;0
Athena Blended Grow A;ml;48,4;0;10;50,8;2,3;0;0,12;0;0,73;0,16;0,01;0,05;0
Athena Blended Grow B;ml;11,4;14,9;47,3;0;10,2;14,8;0;0,06;0;0;0;0;0
Athena Blended Bloom A;ml;47,8;0;49,6;38,3;2,0;0;0,12;0;0,72;0,16;0,01;0,05;0
Athena Blended Bloom B;ml;8,1;30,2;47,9;0;10,9;15,0;0;0,06;0;0;0;0;0
Athena Blended PK;ml;0;26,7;63,4;0;14,6;22,9;0;0;0;0;0;0;0;
Athena Blended CaMg;ml;22,2;0;0;23,4;12,2;0;;0;0;0,67;0;0;0;0
Terra Aquatica Calcium/Magnesium;ml;25;0;0;28,6;6;0;0;0;0;0;0;0;0
Terra Aquatica TriPart Grow;ml;34,2;5;56,8;0;5,5;0;0;0;0;0;0;0;0
Terra Aquatica TriPart Bloom;ml;0;25,4;38,6;0;21;23,2;0;0;0;0;0;0;0
Terra Aquatica TriPart Micro Hard Water;ml;55,4;0;12;11,1;0;0;1,1;1,1;13,3;7,8;0,2;2,2;0
Terra Aquatica TriPart Micro Soft Water;ml;62,5;0;13,5;53,6;0;0;0,13;0,13;1,5;0,88;0,03;0,25;0
Canna Mono Calcium;ml;70,6;0;0;106,4;0;0;0;0;0;0;0;0;0
Canna Mono Magnesium;ml;0;0;0;0;51,9;68,9;0;0;0;0;0;0;0
Hesi Coco;ml;30;17;42,3;0,71;2,41;2,88;0;0;0;0;0;0;0
Hesi Boost;ml;0;4,4;8,3;0;0;0;0;0;0;0;0;0;0
Hesi PK 13/14;ml;0;39,3;59,8;0;0;0;0;0;0;0;0;0;0
Hesi Hesilicio;ml;0;0;0;0;0;0;0;0;0;0;0;0;14
Bittersalz;g;0;0;0;0;98,6;130;0;0;0;0;0;0;0
Haifa Cal GG Calciumnitrat;g;155;0;0;189,5;0;0;0;0;0;0;0;0;0
Haifa SOP Bio Kaliumsulfat;g;0;0;431,7;0;0;180;0;0;0;0;0;0;0
SHINE;g;0;95,9;99,6;0;10;20;0,2;0;1;0,5;0;0;0
VBX;g;70;17,4;91,3;70,1;25;45;0,2;0;1;0,5;0;0;0
